Name,Seed,AdjEM,SoS,WinsPerLastTenGames,DidWinConfTitle,DidWinConfChamp,StarPlayers
Duke,1,31.99,13.25,7,0,1,2
Michigan State,2,31.36,13.58,9,1,1,1
LSU,3,20.97,9.5,8,1,0,0
Virginia Tech,4,24.47,8.61,6,0,0,0
Mississippi St,5,20.68,10.46,7,0,0,0
Maryland,6,19.98,11.08,5,0,0,0
Louisville,7,20.97,13,3,0,0,0
VCU,8,15.69,1.15,9,1,0,0
UCF,9,14.58,3.61,7,0,0,0
Minnesota,10,14.46,12.07,5,0,0,0
Belmont,11,13.69,-2.63,9,1,0,0
Liberty,12,11,-4.46,9,1,1,0
Saint Louis,13,6.27,0.37,7,0,1,0
Yale,14,8.58,-1.53,7,1,1,0
Bradley,15,-0.36,-2.12,8,0,1,0
North Dakota St,16,-3.31,-3.44,7,0,1,0
Gonzaga,1,32.79,3.38,9,1,0,2
Michigan,2,29.44,11.65,6,0,0,0
Texas Tech,3,26.75,8.31,9,1,0,1
Florida St,4,22.56,10.71,8,0,0,0
Marquette,5,18.42,7.65,5,0,0,1
Buffalo,6,20.33,2.8,10,1,1,0
Nevada,7,18.92,1.38,7,1,0,0
Syracuse,8,16.3,10.06,4,0,0,0
Baylor,9,15.29,9.18,4,0,0,0
Florida,10,18.33,11.65,6,0,0,0
ASU,11,11.52,4.93,8,0,0,0
Murray State,12,13.34,-4.77,10,1,1,1
Vermont,13,8.71,-6.01,9,1,1,0
N Kentucky,14,6.56,-4.29,8,1,1,0
Montana,15,3.55,-6.59,8,1,1,0
FDU,16,-3.7,-8.36,10,1,1,0
Virginia,1,35.61,10.46,9,1,0,1
Tennessee,2,26.97,10.57,6,0,0,1
Purdue,3,26.01,12.99,7,1,0,1
Kansas State,4,20.22,10.04,7,1,0,0
Wisconsin,5,23.64,13.53,6,0,0,1
Villanova,6,18.76,8.21,6,1,1,0
Cincinnati,7,17.04,4.19,8,0,1,0
Ole Miss,8,15.08,8.68,5,0,0,0
Oklahoma,9,15.52,12.61,4,0,0,0
Iowa,10,15.92,10.53,4,0,0,0
Saint Marys,11,17.7,3.62,8,0,1,0
Oregon,12,15.14,4.09,8,0,1,0
UC Irvine,13,9.45,-3.95,10,1,1,0
Old Dominion,14,5.58,-2.38,8,1,1,0
Colgate,15,4.32,-4.17,10,1,1,0
Gardner-Webb,16,-0.77,-4.56,8,0,1,0
North Carolina,1,29.13,13.63,8,1,0,0
Kentucky,2,27.41,11.02,7,0,0,1
Houston,3,22.42,3.15,8,1,0,0
Kansas,4,20.7,13.88,7,0,0,1
Auburn,5,23.32,10.87,9,0,1,0
Iowa State,6,21.83,10.34,5,0,1,0
Wofford,7,20.75,1.41,10,1,1,0
Utah State,8,16.61,0,10,1,1,0
Washington,9,13.36,4.93,7,1,0,0
Seton Hall,10,12.9,9.41,6,0,0,0
Ohio State,11,15.05,11.59,3,0,0,0
New Mexico St,12,13.57,-3.54,10,1,1,0
Notheastern,13,8.77,-0.77,9,0,1,0
Georgia State,14,5.59,0.93,8,1,1,0
Abil Christian,15,2.07,-9.06,8,0,1,0
Iona,16,-3.1,-6.65,10,1,1,0
